id_produto,nome_produto,id_categoria,nome_categoria,estoque_atual,media_12m_qtd,media_3m,cobertura_meses,cobertura_dias,cobertura_percentual_30d,criticidade,sugestao_1m,valor_estimado_compra_1m,sugestao_3m,valor_estimado_compra_3m,ultimo_preco_compra,ultima_qtd_comprada,ultimo_fornecedor,data_ultima_compra,penultimo_preco_compra,penultima_qtd_comprada,penultimo_fornecedor,data_penultima_compra,antepenultimo_preco_compra,antepenultima_qtd_comprada,antepenultimo_fornecedor,data_antepenultima_compra,data_ultima_movimentacao,transacoes_12m,quantidade_total_12m,valor_total_12m,prazo_reposicao_dias,critico,qtd_vendas_2024-07,qtd_vendas_2024-08,qtd_vendas_2024-09,qtd_vendas_2024-10,qtd_vendas_2024-11,qtd_vendas_2024-12,qtd_vendas_2025-01,qtd_vendas_2025-02,qtd_vendas_2025-03,qtd_vendas_2025-04,qtd_vendas_2025-05,qtd_vendas_2025-06,qtd_vendas_2025-07
29160525,MINA P/ GRAFITE 0.9MM HB C/2 BLISTER LEO & LEO,74.0,MATERIAL DE ESCRITÓRIO,0.0,0.58,1.0,0.0,0.0,0.0,CRÍTICO,1.0,2.49,2.0,4.98,2.49,3.0,MAXPEL,2025-05-20 16:47:14,2.49,4.0,,2025-05-05 15:08:59,2.49,1.0,QUEIROZ,2023-09-25 17:34:22,2025-05-20 16:47:14,2,7,25.200000000000003,,False,0,0,0,0,0,0,0,0,0,4,3,0,0
33927207,MASCARA 6200 SEMI FACIAL C.A 4115 3M,72.0,EPI - REUTILIZÁVEIS,0.0,0.08,0.0,0.0,0.0,0.0,CRÍTICO,1.0,165.0,1.0,165.0,154.0,1.0,PROTEM,2025-02-17 15:16:15,,,,,,,,,2025-02-17 17:48:35,1,1,215.6,,False,0,0,0,0,0,0,0,1,0,0,0,0,0
33927380,"ABRACADEIRA DE NYLON BRANCA 283X4,8 C/100 UND",71.0,DIVERSOS/FERRAGENS/UTILIDADES,0.0,0.08,0.0,0.0,0.0,0.0,CRÍTICO,1.0,27.0,1.0,27.0,27.0,1.0,,2024-11-01 16:05:56,,,,,,,,,2024-11-01 16:05:56,1,1,37.8,,False,0,0,0,1,0,0,0,0,0,0,0,0,0
34032271,TESOURA MULTIUSO 20CM BRW,74.0,MATERIAL DE ESCRITÓRIO,0.0,0.08,0.0,0.0,0.0,0.0,CRÍTICO,1.0,9.49,1.0,9.49,9.49,1.0,QUEIROZ,2024-11-11 18:28:31,9.49,5.0,QUEIROZ,2024-05-16 12:05:22,13.0,1.0,MAXPEL,2024-02-05 18:28:28,2024-11-11 18:28:31,1,1,13.5,,False,0,0,0,0,1,0,0,0,0,0,0,0,0
34034244,"ETIQUETA PIMACO TP ESTRELA PRATA 18,79MM C/100UND",74.0,MATERIAL DE ESCRITÓRIO,0.0,0.17,0.67,0.0,0.0,0.0,CRÍTICO,1.0,4.3,1.0,4.3,4.3,2.0,MAXPEL,2025-06-30 16:37:09,,,,,,,,,2025-06-30 16:37:09,1,2,12.3,,False,0,0,0,0,0,0,0,0,0,0,0,2,0
34067719,AROMATIZANTE DE AMBIENTE CONC MARINE 140ML NOBRE,68.0,ALIMENTO E BEBIDAS,0.0,15.33,2.0,0.0,0.0,0.0,CRÍTICO,16.0,94.08,46.0,270.48,5.88,1.0,,2025-06-05 16:26:35,5.88,120.0,,2024-12-10 08:37:29,5.88,1.0,,2024-10-13 09:24:49,2025-06-05 16:26:35,27,184,1882.09,40.0,True,0,42,21,1,0,33,24,28,13,16,6,0,0
34069109,PASTA AZ OF LOMBO LARGO ECONOMIC AZUL,74.0,MATERIAL DE ESCRITÓRIO,1.0,4.33,6.67,0.23,6.92,23.08,CRÍTICO,4.0,71.96,12.0,215.88,17.99,15.0,,2025-05-21 15:25:30,17.99,20.0,,2025-01-10 18:09:47,17.99,7.0,,2024-12-26 16:04:42,2025-06-04 10:42:43,9,52,1385.8,,False,0,0,5,0,0,6,19,1,1,0,20,0,0
34069987,TNT 50X1.40MT LISO BRANCO,35.0,EXPED - TNT,0.0,0.5,0.33,0.0,0.0,0.0,CRÍTICO,1.0,56.65,2.0,113.3,56.65,1.0,,2025-06-02 17:36:03,56.65,2.0,,2024-12-30 18:07:13,56.65,2.0,,2024-11-29 17:57:52,2025-06-02 17:36:03,6,6,480.9,,False,0,0,1,0,2,2,0,0,0,0,1,0,0
34085392,PURIFICADOR GLADE LAVANDA 269ML,,,0.0,0.25,0.0,0.0,0.0,0.0,CRÍTICO,1.0,26.59,1.0,26.59,,,,,,,,,,,,,,2,3,111.75,,False,1,2,0,0,0,0,0,0,0,0,0,0,0
34085434,FILTRO P/ CAFE N103 SANTA CLARA C/30,70.0,DESCARTÁVEIS E EMBALAGENS,0.0,30.0,19.33,0.0,0.0,0.0,CRÍTICO,30.0,158.7,90.0,476.1,5.29,3.0,,2025-07-02 17:27:35,5.29,20.0,ATACADAO,2025-06-30 19:02:48,5.29,80.0,ATACADAO,2025-04-22 08:30:28,2025-07-02 17:27:35,21,360,3165.2,,False,35,8,27,0,31,3,64,43,36,55,32,26,0
