Mês,id_loja,total_venda,Ano,nome
9,3,16899.09,2019,Bibi Cell Vieiralves
10,3,60318.4,2019,Bibi Cell Vieiralves
11,3,44966.69,2019,Bibi Cell Vieiralves
12,3,55257.29,2019,Bibi Cell Vieiralves
1,3,47557.69,2020,Bibi Cell Vieiralves
2,3,41108.0,2020,Bibi Cell Vieiralves
3,3,41369.9,2020,Bibi Cell Vieiralves
4,3,50213.1,2020,Bibi Cell Vieiralves
5,3,71303.3,2020,Bibi Cell Vieiralves
6,3,59639.2,2020,Bibi Cell Vieiralves
7,3,54637.1,2020,Bibi Cell Vieiralves
8,3,60875.37,2020,Bibi Cell Vieiralves
9,3,58989.9,2020,Bibi Cell Vieiralves
10,3,53429.39,2020,Bibi Cell Vieiralves
11,3,62182.57,2020,Bibi Cell Vieiralves
12,3,76170.54,2020,Bibi Cell Vieiralves
1,3,92911.81,2021,Bibi Cell Vieiralves
2,3,61473.64,2021,Bibi Cell Vieiralves
3,3,88803.98,2021,Bibi Cell Vieiralves
4,3,88254.53,2021,Bibi Cell Vieiralves
5,3,95270.58,2021,Bibi Cell Vieiralves
6,3,122954.78,2021,Bibi Cell Vieiralves
7,3,119591.64,2021,Bibi Cell Vieiralves
8,3,90502.92,2021,Bibi Cell Vieiralves
9,3,105001.07,2021,Bibi Cell Vieiralves
10,3,81372.45,2021,Bibi Cell Vieiralves
11,3,95606.89,2021,Bibi Cell Vieiralves
12,3,95611.52,2021,Bibi Cell Vieiralves
1,3,113524.76,2022,Bibi Cell Vieiralves
2,3,84315.09,2022,Bibi Cell Vieiralves
3,3,91292.45,2022,Bibi Cell Vieiralves
4,3,98872.69,2022,Bibi Cell Vieiralves
5,3,105149.25,2022,Bibi Cell Vieiralves
6,3,103126.75,2022,Bibi Cell Vieiralves
7,3,108207.0,2022,Bibi Cell Vieiralves
8,3,88602.3,2022,Bibi Cell Vieiralves
9,3,82624.5,2022,Bibi Cell Vieiralves
10,3,84544.85,2022,Bibi Cell Vieiralves
11,3,73409.09,2022,Bibi Cell Vieiralves
12,3,88357.9,2022,Bibi Cell Vieiralves
1,3,85270.55,2023,Bibi Cell Vieiralves
2,3,73429.23,2023,Bibi Cell Vieiralves
3,3,78231.87,2023,Bibi Cell Vieiralves
4,3,65120.65,2023,Bibi Cell Vieiralves
5,3,72109.65,2023,Bibi Cell Vieiralves
6,3,61011.0,2023,Bibi Cell Vieiralves
7,3,66599.89,2023,Bibi Cell Vieiralves
8,3,61082.35,2023,Bibi Cell Vieiralves
9,3,68639.9,2023,Bibi Cell Vieiralves
10,3,69670.9,2023,Bibi Cell Vieiralves
11,3,65107.3,2023,Bibi Cell Vieiralves
12,3,91135.1,2023,Bibi Cell Vieiralves
1,3,66257.54,2024,Bibi Cell Vieiralves
2,3,51804.64,2024,Bibi Cell Vieiralves
3,3,66274.74,2024,Bibi Cell Vieiralves
4,3,58150.29,2024,Bibi Cell Vieiralves
5,3,83098.09,2024,Bibi Cell Vieiralves
6,3,67600.05,2024,Bibi Cell Vieiralves
7,3,71503.4,2024,Bibi Cell Vieiralves
8,3,70450.8,2024,Bibi Cell Vieiralves
9,3,76723.2,2024,Bibi Cell Vieiralves
10,3,88941.86,2024,Bibi Cell Vieiralves
11,3,78011.8,2024,Bibi Cell Vieiralves
12,3,96036.4,2024,Bibi Cell Vieiralves
1,3,67326.8,2025,Bibi Cell Vieiralves
2,3,86930.0,2025,Bibi Cell Vieiralves
3,3,100795.4,2025,Bibi Cell Vieiralves
4,3,85095.55,2025,Bibi Cell Vieiralves
5,3,88122.6,2025,Bibi Cell Vieiralves
